작은 HP포션	Small HP Potion
HP포션	HP Potion
큰 HP포션	Big HP Potion
작은 SP포션	Small SP Potion
SP포션	SP Potion
큰 SP포션	Big SP Potion
스태미나 알약	Stamina Pill
이동속도 증가 포션	Movement Increase Potion
워프 주문서	Warp Scroll
바루날레샤	Varnalesa
발래리요나스	Valerijonas
초브랠리스	Ciobrelis
워시스	Uosis
아말라스	Amalas
아비에테	Aviete
기슬로티스	Gyslotis
요나졸레	Jonazole
마이루나스	Mairunas
라무넬레	Ramunele
라오도넬리스	Raudonelis
양파	Onion
살라위야스	Salavijas
딜겔레	Dilgele
매두스	Medus
누켈라	Nukela
도토리	Acorn
송로버섯	Truffle
꽃빵	Flower Bun
송이버섯	Pine Mushroom
베조아르	Bezoar
레드옥스	Red Ox
건빵	Hardtack
피렌트 열매	Firent Fruit
망고스틴	Mangosteen
복숭아	Peach
수르스트뢰밍	Surströmming
두리안	Durian
딸기	Strawberry
지혜의 열매	Wisdomberry
레몬	Lemon
만드라고라	Mandragora
LV50 미션 포탈 소환서	Lv50 Mission Portal Scroll
LV80 미션 포탈 소환서	Lv80 Mission Portal Scroll
LV110 미션 포탈 소환서	Lv110 Mission Portal Scroll
성수	Purewater
홀리 파우더	Holy Powder
마늘	Garlic
포포리온 고기	Popolion
클라페다 워프 주문서	Klaipeda Warp Scroll
메달 충전 쿠폰	Medal Recharge Coupon
해독제	Andidote
벨하이더 먹이	Velhider Food
호글란 먹이	Hoglan Food
아르마 먹이	Arma Food
광석 콜렉션	Ore Collection
꽃 콜렉션	Flower Collection
뼈 콜렉션	Bone Collection
수정 콜렉션	Crytal Collection
왕릉 콜렉션	Royal Tomb Collection
코카트리스 콜렉션	Cockatrice Collection
패러뮨 콜렉션	Paramune Collection
테넷 성당 콜렉션	Tenet Chapel Collection
유령 콜렉션	Ghost Collection
모루	Anvil
가이갈라스 카드	Gaigalas Card
게이징 골렘 카드	Gorgon Card
고르곤 카드	Gorgon Card
골렘 카드	Golem Card
그라이넨더 카드	Grinender Card
글래스몰 카드	Glass_Mole Card
긴클라스 카드	Ginklas Card
네더보바인 카드	Netherbovine Card
네크로벤터 카드	Necrovanter Card
데드본 카드	Deadbone Card
데블글로브 카드	Devilglove Card
덴옵틱 카드	Denoptic Card
드라페리운 카드	Rajatoad Card
라바인피드 카드	Ravinepede Card
라자토드 카드	Rajatoad Card
락토르투가 카드	Rocktortuga Card
렉시퍼 카드	Rexipher Card
리버피드 카드	Reaverpede Card
리카우스 카드	Rikaus Card
리타스워트 카드	Rytaswort Card
마스터 지니 카드	Genmagnus Card
마인로더 카드	Mineloader Card
말렛와이번 카드	Malletwyvern Card
매그버크 카드	Magburk Card
맨티켄 카드	Mushcaria Card
머미가스트 카드	Mummyghast Card
머슈카리아 카드	Mushcaria Card
머지 카드	Merge Card
모스템 카드	Mothstem Card
모아 카드	Moa Card
모야브루카 카드	Moyabruka Card
몰디혼 카드	Moldyhorn Card
몰렉 카드	Molich Card
미노타우로스 카드	Minotaurs Card
미르티스 카드	Mirtis Card
베브라스피온 카드	Bebraspion Card
베아카라스 카드	Bearkaras Card
벨로차드 카드	Velorchard Card
부베 투사 카드	Vubbe Fighter Card
붉은 부베 투사 카드	Red Vubbe Fighter Card
브람블 카드	Bramble Card
비테레지나 카드	Biteregina Card
사이클롭스 카드	Cyclops Card
살티스터 카드	Saltistter Card
샐러맨더 카드	Salamander Card
섀도게일러 카드	Shadowgaoler Card
석화고래 카드	Stone Whale Card
쉬나임 카드	Shnayim Card
스콜피오 카드	Scorpio Card
스펙터 군주 카드	Specter Card
쓰론위버 카드	Throneweaver Card
아이언바움 카드	Ironbaum Card
아콘 카드	Archon Card
언낙커 카드	Unknocker Card
에하트 카드	Achat Card
엘라가노스 카드	Ellaganos Card
예쿱 카드	Yekub Card
요나졸렘 카드	Yonazolem Card
우드스피릿 카드	Woodspirit Card
웨어울프 카드	Werewolf Card
유니콘 카드	Unicorn Card
일티스워트 카드	Lltiswort Card
자이언트 레드 우드 카드	Giantredwood Card
채퍼리션 카드	Chapparition Card
체이퍼 카드	Chafer Card
카너버 카드	Carnivore Card
캐러페이스 카드	Carapace Card
캑터스벨 카드	Cactusvel Card
케파치프틴 카드	Kepachieftain Card
콜리멘시아 카드	Colimencia Card
클라이멘 카드	Clymen Card
투투 카드	Tutu Card
툼로드 카드	Tomblord Card
포아타 카드	Poata Card
세콰이아 카드	Sequoia Card
하르피아 카드	Harpeia Card
허니핀 카드	Honeypin Card
헬가세르클 카드	Helgacercle Card
