소드맨	Swordsman
하이랜더	Highlander
펠타스타	Peltasta
하플라이트	Hoplite
센츄리온	Centurion
바바리안	Barbarian
캐터프랙트	Cataphract
커세어	Corsair
도펠죌트너	Doppelsoldner
로델레로	Rodelero
스콰이어	Squire
위저드	Wizard
파이로맨서	Pyromancer
크리오맨서	Cryomancer
사이코키노	Psychokino
알케미스트	Alchemist
소서러	Sorcerer
링커	Linker
크로노맨서	Chronomancer
네크로맨서	Necromancer
쏘마터지	Thaumaturge
엘레멘탈리스트	Elementalist
아처	Archer
헌터	Hunter
쿼렐슈터	Quarrelshooter
레인저	Ranger
새퍼	Sapper
우구시	Wugushi
하카펠	Hackapell
스카우트	Scout
로그	Rogue
슈바르츠라이터	Schwarze Reiter
플레처	Fletcher
클레릭	Cleric
프리스트	Priest
크리비	Krivis
보코르	Bokor
드루이드	Druid
사두	Sadhu
딥디르비	Dievdirbys
오라클	Oracle
몽크	Monk
파드너	Pardoner
팔라딘	Paladin
