무르밀로 헬멧	Murmillo Helmet
붉은 암밴드	Red Armband
매듭진 암밴드	Knotted Armband
긴 암밴드	Long Armband
깃털 장식 암밴드	Feather Armband
술달린 암밴드	Tasseled Armband
오래된 글라디우스	Old Gladius
글라디우스	Gladius
크루드 폴쳔	Crude Falchion
크루드 카스카라	Crude Kaskara
친퀘데아	Cinquedea
사브르	Sabre
샴시르	Shamshir
시미터	Scimitar
크리스	Kris
스니커스니	Snickersnee
오래된 샴시르	Old Shamshir
오래된 시미터	Old Scimitar
병사의 글라디우스	Soldier's Gladius
Mayor's 폴쳔	Mayor's Falchion
오래된 카스카라	Old Kaskara
모플라	Moplah
슈페리어 글라디우스	Superior Gladius
폴쳔	Falchion
슈페리어 폴쳔	Superior Falchion
카스카라	Kaskara
슈페리어 친퀘데아	Superior Cinquedea
슈페리어 사브르	Superior Sabre
슈페리어 샴시르	Superior Shamshir
던켈 사브르	Dunkel Sabre
던켈 스니커스니	Dunkel Snickersnee
던켈 폴쳔	Dunkel Falchion
던켈 카스카라	Dunkel Kaskara
던켈 친퀘데아	Dunkel Cinquedea
던켈 샴시르	Dunkel Shamshir
쏜 커터	Sawn Cutter
데미온소드	Demion Sword
판토 소드	Panto Sword
플로나스 사브르	Flonas Sabre
골든 폴쳔	Golden Falchion
스틸 폴쳔	Steel Falchion
실버 폴쳔	Silver Falchion
만드라픽	Mandrapick
위저드 블레이드	Wizard Blade
케미니스 소드	Cheminis Sword
아우스타스	Austas
미스카스 사브르	Miskas Sabre
임페르니 소드	Imperni Sword
그리타스	Gritas
스파타	Spatha
아라스의 폴쳔	Aras Falchion
스미스 소드	Smith Sword
클라비스 소드	Klavis Sword
디오 소드	Dio Sword
트레시 소드	Thresh Sword
세스타스 소드	Sestas Sword
드라트 소드	Drat Sword
아스턴 소드	Aston Sword
데비 소드	Debby Sword
프리마 소드	Prima Sword
트리니티 소드	Trinity Sword
듀란달	Durandal
벨니웁	Velniup
포르티스	Fortees
채퍼리션 커터	Chapparition Cutter
데스위버 커터	Deathweaver Cutter
채퍼리션 소드	Chapparition Sword
벤드라스 소드	Bendras Sword
일리지아	Illizia
나이프	Knife
더크대거	Dirk Dagger
망고슈	Main Gauche
더크대거	Dirk Dagger
망고슈	Main Gauche
던켈 바스타드 소드	Dunkel Bastard Sword
플랑베르쥬	Flamberge
노다치	Nodachi
클레이모어	Claymore
콜로서스	Colossus
칼리번	Caliburn
콰다라	Quaddara
라이트 클레이모어	Light Claymore
오래된 콜로서스	Old Colossus
일룬	Ilwoon
연습용 바스타드 소드	Training Bastard Sword
바스타드 소드	Bastard Sword
슈페리어 플랑베르쥬	Superior Flamberge
슈페리어 노다치	Superior Nodachi
슈페리어 클레이모어	Superior Claymore
던켈 노다치	Dunkel Nodachi
던켈 콰다라	Dunkel Quaddara
던켈 플랑베르쥬	Dunkel Flamberge
던켈 클레이모어	Dunkel Claymore
그레이트 소드	Great Sword
드레스 소드	Dress Sword
엑스큐셔너스 소드	Executioner's Sword
루마이 투 핸드 소드	Lumai Two-Hand Sword
오버나이프	Over Knife
